Ticker, Date (yyyymmdd), Open, High, Low, Close, Volume
ABBV,20130523,46.12,46.95,46.02,46.59,3283600
ABBV,20130522,46.46,48,45.85,46.76,5203500
ABBV,20130521,46.19,46.96,46.17,46.54,4708800
ABBV,20130520,47.12,47.14,46.07,46.26,3537800
ABBV,20130517,46.03,47.34,45.85,47.17,5244800
ABBV,20130516,46.06,46.9,46.01,46.21,4605300
ABBV,20130515,45.72,46.93,45.48,46.03,6702500
ABBV,20130514,44.09,45.52,44.09,45.35,5760300
ABBV,20130513,44.79,44.79,44.17,44.54,3738400
ABBV,20130510,44.21,45.01,44.2,45.01,4455800
ABBV,20130509,43.34,44.45,43.25,44.24,5046900
ABBV,20130508,45.01,45.05,43.39,43.49,6973200
ABBV,20130507,44.5,45,44.42,44.91,3745600
ABBV,20130506,44.95,44.95,44.15,44.59,4085700
ABBV,20130503,44.31,44.77,43.83,44.68,4641200
ABBV,20130502,45.68,45.68,43.86,43.99,9649400
ABBV,20130501,45.74,46.09,45.55,45.55,6398100
ABBV,20130430,45.05,46.23,45.01,46.05,6798600
ABBV,20130429,45.83,45.93,45.05,45.23,6024700
ABBV,20130426,44.95,46.31,44.75,45.84,10096800
ABBV,20130425,44.75,44.79,43.76,44.24,5236900
ABBV,20130424,45.14,45.34,43.94,44.32,5541300
ABT,20130523,37.49,37.86,37.3,37.48,7067600
ABT,20130522,37.76,38.77,37.6,37.72,9982400
ABT,20130521,37.85,38,37.57,37.72,6986600
ABT,20130520,36.95,37.93,36.87,37.81,8885200
ABT,20130517,36.82,36.94,36.29,36.59,7049800
ABT,20130516,37.45,37.47,36.82,36.83,6137600
ABT,20130515,37.13,37.7,37.09,37.66,7853100
ABT,20130514,36.42,37.1,36.22,37.05,6309000
ABT,20130513,36.05,36.57,36.04,36.35,6217100
ABT,20130510,36.25,36.41,35.96,36.17,6667100
ABT,20130509,36.19,36.36,36,36.18,4861500
ABT,20130508,36.01,36.29,35.88,36.29,6767500
ABT,20130507,35.74,36.08,35.58,36.06,8347700
ABT,20130506,36.75,36.78,35.8,35.85,8604900
ABT,20130503,37.25,37.25,36.61,36.8,5363500
ABT,20130502,36.95,37.15,36.83,37.06,4202800
ABT,20130501,36.77,37.2,36.62,36.89,5458500
ABT,20130430,36.7,36.98,36.48,36.92,6425500
ABT,20130429,36.49,36.79,36.4,36.73,3111800
ABT,20130426,36.36,36.7,36.25,36.46,6126800
ABT,20130425,36.62,36.82,36.45,36.49,5321400
ABT,20130424,37.27,37.35,36.39,36.52,5434100
ACE,20130523,89.06,89.73,88.64,89.11,2179200
ACE,20130522,89.92,90.57,89.23,89.55,2512700
ACE,20130521,90.95,91.36,89.91,90.01,1564400
ACE,20130520,91.46,91.9,90.8,91.04,1387600
ACE,20130517,92.42,92.81,91.25,91.65,3063800
ACE,20130516,92.67,93.05,91.91,92.11,1523400
ACE,20130515,92.45,92.67,91.71,92.67,1567300
ACE,20130514,91.41,92.69,91.39,92.62,1061900
ACE,20130513,91.42,91.62,91.05,91.42,919700
ACE,20130510,91.71,91.9,90.96,91.6,1245000
ACE,20130509,92.2,92.44,91.4,91.78,1903900
ACE,20130508,91.44,92.27,91.3,92.26,1223600
ACE,20130507,90.7,91.53,90.46,91.39,1416700
ACE,20130506,90.14,90.94,89.72,90.68,1505200
ACE,20130503,89.42,89.96,89.33,89.9,1782000
ACE,20130502,88.5,88.69,88.18,88.65,975200
ACE,20130501,88.78,89.34,88.2,88.3,1236800
ACE,20130430,88.96,89.14,88.59,89.14,1477600
ACE,20130429,89.09,89.35,88.62,88.92,1272000
ACE,20130426,89.57,89.83,88.9,88.94,1306700
ACE,20130425,89.88,90.03,89.3,89.5,1663500
ACE,20130424,90.24,90.41,89.29,89.54,1845400
MMM,20130523,110.06,110.7,109.58,110.41,2550600
MMM,20130522,111.59,112.29,110.57,110.79,3833200
MMM,20130521,112.11,112.34,111.52,112.01,2473300
MMM,20130520,111.13,112.06,110.96,111.72,2457300
MMM,20130517,111.16,111.78,110.94,111.39,4060400
MMM,20130516,111.21,111.7,110.95,111.07,2685900
MMM,20130515,110.4,111.71,110.29,111.5,2912600
MMM,20130514,110.32,110.79,110.27,110.59,2481000
MMM,20130513,109.99,110.72,109.71,110.5,2044400
MMM,20130510,110.08,110.64,109.75,110.48,2993300
MMM,20130509,108.11,110.51,108.11,109.92,4487000
MMM,20130508,108.03,108.29,107.77,108.2,2654400
MMM,20130507,107.61,108.37,107.55,108.01,2235200
MMM,20130506,107.63,107.99,107.45,107.84,2174400
MMM,20130503,106.96,108.6,106.85,107.83,3013100
MMM,20130502,105.04,106.38,104.91,106.04,3119500
MMM,20130501,104.78,105.12,104.42,104.55,3258900
